word;type;score
agilität;NN;0.004
agilst;ADJX;0.1959
agilste;ADJX;0.1959
agilstem;ADJX;0.1959
agilsten;ADJX;0.1959
agilster;ADJX;0.1959
agilstes;ADJX;0.1959
agitation;NN;-0.0048
agitationen;NN;-0.0048
akkurat;ADJX;0.004
akkurate;ADJX;0.004
akkuratem;ADJX;0.004
akkuraten;ADJX;0.004
akkurater;ADJX;0.004
akkuratere;ADJX;0.004
akkuraterem;ADJX;0.004
akkurateren;ADJX;0.004
akkuraterer;ADJX;0.004
akkurateres;ADJX;0.004
akkurates;ADJX;0.004
akkuratest;ADJX;0.004
akkurateste;ADJX;0.004
akkuratestem;ADJX;0.004
akkuratesten;ADJX;0.004
akkuratester;ADJX;0.004
akkuratestes;ADJX;0.004
aktiv;ADJX;0.0911
aktive;ADJX;0.0911
aktivem;ADJX;0.0911
aktiven;ADJX;0.0911
aktiver;ADJX;0.0911
aktivere;ADJX;0.0911
aktiverem;ADJX;0.0911
aktiveren;ADJX;0.0911
aktiverer;ADJX;0.0911
aktiveres;ADJX;0.0911
aktives;ADJX;0.0911
aktivität;NN;0.004
aktivitäten;NN;0.004
aktivst;ADJX;0.0911
aktivste;ADJX;0.0911
aktivstem;ADJX;0.0911
aktivsten;ADJX;0.0911
aktivster;ADJX;0.0911
aktivstes;ADJX;0.0911
aktualisier;VVINF;0.004
aktualisiere;VVINF;0.004
aktualisieren;VVINF;0.004
aktualisierest;VVINF;0.004
aktualisieret;VVINF;0.004
aktualisierst;VVINF;0.004
aktualisiert;VVINF;0.004
aktualisierte;VVINF;0.004
aktualisierten;VVINF;0.004
aktualisiertest;VVINF;0.004
aktualisiertet;VVINF;0.004
aktualisierung;NN;0.004
aktualisierungen;NN;0.004
aktualität;NN;0.004
aktualitäten;NN;0.004
aktuell;ADJX;0.004
aktuelle;ADJX;0.004
aktuellem;ADJX;0.004
aktuellen;ADJX;0.004
aktueller;ADJX;0.004
aktuellere;ADJX;0.004
aktuellerem;ADJX;0.004
aktuelleren;ADJX;0.004
aktuellerer;ADJX;0.004
aktuelleres;ADJX;0.004
aktuelles;ADJX;0.004
aktuellst;ADJX;0.004
